Time,Channel B
(ms),(V)

-4.17585705,4.94460900
-4.17457705,4.94460900
-4.17329705,4.94460900
-4.17201705,4.94460900
-4.17073705,4.94460900
-4.16945705,4.94460900
-4.16817705,5.12100600
-4.16689705,4.94460900
-4.16561705,4.94460900
-4.16433705,4.94460900
-4.16305705,4.94460900
-4.16177705,4.94460900
-4.16049705,4.94460900
-4.15921705,4.94460900
-4.15793705,4.94460900
-4.15665705,5.12100600
-4.15537705,5.12100600
-4.15409705,5.12100600
-4.15281705,5.12100600
-4.15153705,4.94460900
-4.15025705,4.94460900
-4.14897705,4.94460900
-4.14769705,4.94460900
-4.14641705,4.94460900
-4.14513705,4.94460900
-4.14385705,4.94460900
-4.14257705,4.94460900
-4.14129705,4.94460900
-4.14001705,4.94460900
-4.13873705,4.94460900
-4.13745705,4.94460900
-4.13617705,4.94460900
-4.13489705,4.94460900
-4.13361705,4.94460900
-4.13233705,4.94460900
-4.13105705,4.94460900
-4.12977705,4.94460900
-4.12849705,4.94460900
-4.12721705,4.94460900
-4.12593705,4.94460900
-4.12465705,4.94460900
-4.12337705,4.94460900
-4.12209705,4.94460900
-4.12081705,5.12100600
-4.11953705,4.94460900
-4.11825705,4.94460900
-4.11697705,4.94460900
-4.11569705,4.94460900
-4.11441705,4.94460900
-4.11313705,4.94460900
-4.11185705,4.94460900
-4.11057705,4.94460900
-4.10929705,4.94460900
-4.10801705,4.94460900
-4.10673705,4.94460900
-4.10545705,4.94460900
-4.10417705,4.94460900
-4.10289705,4.94460900
-4.10161705,4.94460900
-4.10033705,4.94460900
-4.09905705,4.94460900
-4.09777705,4.94460900
-4.09649705,4.94460900
-4.09521705,4.94460900
-4.09393705,5.12100600
-4.09265705,4.94460900
-4.09137705,4.94460900
-4.09009705,4.94460900
-4.08881705,4.94460900
-4.08753705,4.94460900
-4.08625705,4.94460900
-4.08497705,4.94460900
-4.08369705,4.94460900
-4.08241705,5.12100600
-4.08113705,5.12100600
-4.07985705,5.12100600
-4.07857705,4.94460900
-4.07729705,4.94460900
-4.07601705,4.94460900
-4.07473705,4.94460900
-4.07345705,4.94460900
-4.07217705,5.12100600
-4.07089705,4.94460900
-4.06961705,4.94460900
-4.06833705,4.94460900
-4.06705705,4.94460900
-4.06577705,5.12100600
-4.06449705,4.94460900
-4.06321705,4.94460900
-4.06193705,4.94460900
-4.06065705,4.94460900
-4.05937705,4.94460900
-4.05809705,4.94460900
-4.05681705,4.94460900
-4.05553705,4.94460900
-4.05425705,4.94460900
-4.05297705,4.94460900
-4.05169705,5.12100600
-4.05041705,4.94460900
-4.04913705,4.94460900
-4.04785705,4.94460900
-4.04657705,4.94460900
-4.04529705,4.94460900
-4.04401705,4.94460900
-4.04273705,4.94460900
-4.04145705,4.94460900
-4.04017705,4.94460900
-4.03889705,5.12100600
-4.03761705,4.94460900
-4.03633705,4.94460900
-4.03505705,4.94460900
-4.03377705,4.94460900
-4.03249705,4.94460900
-4.03121705,4.94460900
-4.02993705,4.94460900
-4.02865705,4.94460900
-4.02737705,4.94460900
-4.02609705,4.94460900
-4.02481705,4.94460900
-4.02353705,4.94460900
-4.02225705,4.94460900
-4.02097705,4.94460900
-4.01969705,4.94460900
-4.01841705,4.94460900
-4.01713705,4.94460900
-4.01585705,4.94460900
-4.01457705,4.94460900
-4.01329705,4.94460900
-4.01201705,4.94460900
-4.01073705,4.94460900
-4.00945705,4.94460900
-4.00817705,5.12100600
-4.00689705,5.12100600
-4.00561705,5.12100600
-4.00433705,5.12100600
-4.00305705,4.94460900
-4.00177705,4.94460900
-4.00049705,4.94460900
-3.99921705,5.12100600
-3.99793705,4.94460900
-3.99665705,4.94460900
-3.99537705,4.94460900
-3.99409705,4.94460900
-3.99281705,4.94460900
-3.99153705,4.94460900
-3.99025705,4.94460900
-3.98897705,4.94460900
-3.98769705,4.94460900
-3.98641705,4.94460900
-3.98513705,4.94460900
-3.98385705,4.94460900
-3.98257705,4.94460900
-3.98129705,4.94460900
-3.98001705,4.94460900
-3.97873705,4.94460900
-3.97745705,4.94460900
-3.97617705,4.94460900
-3.97489705,4.94460900
-3.97361705,4.94460900
-3.97233705,4.94460900
-3.97105705,4.94460900
-3.96977705,4.94460900
-3.96849705,4.94460900
-3.96721705,4.94460900
-3.96593705,4.94460900
-3.96465705,4.94460900
-3.96337705,4.94460900
-3.96209705,4.94460900
-3.96081705,4.94460900
-3.95953705,4.94460900
-3.95825705,4.94460900
-3.95697705,4.94460900
-3.95569705,4.94460900
-3.95441705,4.94460900
-3.95313705,4.94460900
-3.95185705,4.94460900
-3.95057705,4.94460900
-3.94929705,4.94460900
-3.94801705,4.94460900
-3.94673705,4.94460900
-3.94545705,4.94460900
-3.94417705,4.94460900
-3.94289705,4.94460900
-3.94161705,4.94460900
-3.94033705,4.94460900
-3.93905705,4.94460900
-3.93777705,4.94460900
-3.93649705,4.94460900
-3.93521705,5.12100600
-3.93393705,5.12100600
-3.93265705,5.12100600
-3.93137705,4.94460900
-3.93009705,4.94460900
-3.92881705,4.94460900
-3.92753705,4.94460900
-3.92625705,4.94460900
-3.92497705,4.94460900
-3.92369705,4.94460900
-3.92241705,4.94460900
-3.92113705,4.94460900
-3.91985705,4.94460900
-3.91857705,4.94460900
-3.91729705,4.94460900
-3.91601705,4.94460900
-3.91473705,5.12100600
-3.91345705,4.94460900
-3.91217705,4.94460900
-3.91089705,4.94460900
-3.90961705,4.94460900
-3.90833705,4.94460900
-3.90705705,4.94460900
-3.90577705,4.94460900
-3.90449705,4.94460900
-3.90321705,4.94460900
-3.90193705,4.94460900
-3.90065705,4.94460900
-3.89937705,4.94460900
-3.89809705,4.94460900
-3.89681705,4.94460900
-3.89553705,4.94460900
-3.89425705,4.94460900
-3.89297705,4.94460900
-3.89169705,4.94460900
-3.89041705,4.94460900
-3.88913705,4.94460900
-3.88785705,4.94460900
-3.88657705,4.94460900
-3.88529705,4.94460900
-3.88401705,4.94460900
-3.88273705,4.94460900
-3.88145705,4.94460900
-3.88017705,4.94460900
-3.87889705,4.94460900
-3.87761705,4.94460900
-3.87633705,4.94460900
-3.87505705,4.94460900
-3.87377705,4.94460900
-3.87249705,4.94460900
-3.87121705,4.94460900
-3.86993705,4.94460900
-3.86865705,4.94460900
-3.86737705,4.94460900
-3.86609705,4.94460900
-3.86481705,4.94460900
-3.86353705,5.12100600
-3.86225705,5.12100600
-3.86097705,4.94460900
-3.85969705,5.12100600
-3.85841705,5.12100600
